match_id,match_date,kick_off,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_youth,home_team.home_team_group,home_team.managers,home_team.country.id,home_team.country.name,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_youth,away_team.away_team_group,away_team.managers,away_team.country.id,away_team.country.name,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name,is_home,america_goals,opponent_goals,result
3939883,2024-09-18,01:00:00.000,3,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-18T10:48:42.968365,2024-09-18T10:48:42.968365,8,73,Mexico,Liga MX,317,2024/2025,1229,América,male,FALSE,NA,,147,Mexico,1296,Atlas,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,1001010,Estadio Ciudad de los Deportes,147,Mexico,1106,Adonai Escobedo González,147,Mexico,TRUE,3,0,Win
3994839,2025-05-19,01:15:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-05-27T03:56:22.232660,2025-05-27T03:56:22.232660,22,73,Mexico,Liga MX,317,2024/2025,1229,América,male,FALSE,NA,,147,Mexico,1224,Cruz Azul,male,FALSE,NA,,147,Mexico,1.1.0,2,2,136,Clausura - Semi-finals,1001010,Estadio Ciudad de los Deportes,147,Mexico,1719,Víctor Alfonso Cáceres Hernández,147,Mexico,TRUE,2,1,Win
3972127,2025-03-30,01:05:00.000,3,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-11T15:24:31.599695,2025-04-11T15:24:31.599695,13,73,Mexico,Liga MX,317,2024/2025,1229,América,male,FALSE,NA,,147,Mexico,1300,Tigres UANL,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,1001010,Estadio Ciudad de los Deportes,147,Mexico,1719,Víctor Alfonso Cáceres Hernández,147,Mexico,TRUE,3,0,Win
3972111,2025-03-09,03:05:00.000,0,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-09T15:26:56.555752,2025-03-09T15:26:56.555752,11,73,Mexico,Liga MX,317,2024/2025,1297,Guadalajara,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4838,Estadio Akron,147,Mexico,1106,Adonai Escobedo González,147,Mexico,FALSE,0,0,Draw
3939867,2024-09-01,03:10:00.000,4,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-24T05:21:59.575672,2024-09-24T05:21:59.575672,6,73,Mexico,Liga MX,317,2024/2025,1224,Cruz Azul,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,1001010,Estadio Ciudad de los Deportes,147,Mexico,740,César Arturo Ramos Palazuelos,147,Mexico,FALSE,1,4,Loss
3972043,2025-01-29,01:00:00.000,3,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-29T13:55:22.922153,2025-01-29T13:55:22.922153,4,73,Mexico,Liga MX,317,2024/2025,1229,América,male,FALSE,NA,,147,Mexico,1287,Atlético San Luis,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,1001010,Estadio Ciudad de los Deportes,147,Mexico,1002538,Jorge Abraham Camacho Peregrina,147,Mexico,TRUE,3,0,Win
3939848,2024-07-21,03:10:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2024-07-27T15:11:05.854368,2024-07-27T15:11:05.854368,4,73,Mexico,Liga MX,317,2024/2025,1291,Juárez,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4884,Estadio Olímpico Benito Juárez (Ciudad Juárez),147,Mexico,1005472,Maximiliano Quintero Hernández,147,Mexico,FALSE,2,1,Win
3939876,2024-09-15,00:30:00.000,1,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-15T12:52:20.302645,2024-09-15T12:52:20.302645,7,73,Mexico,Liga MX,317,2024/2025,1229,América,male,FALSE,NA,,147,Mexico,1297,Guadalajara,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,1001010,Estadio Ciudad de los Deportes,147,Mexico,1719,Víctor Alfonso Cáceres Hernández,147,Mexico,TRUE,1,0,Win
3972118,2025-03-16,03:05:00.000,1,3,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-22T23:37:41.915704,2025-03-22T23:37:41.915704,12,73,Mexico,Liga MX,317,2024/2025,1296,Atlas,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4828,Estadio Jalisco,147,Mexico,1020,Óscar Mejía García,147,Mexico,FALSE,3,1,Win
3939911,2024-10-06,03:00:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-06T12:00:56.113036,2025-01-06T12:00:56.113036,11,73,Mexico,Liga MX,317,2024/2025,1302,León,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4830,Estadio León,147,Mexico,740,César Arturo Ramos Palazuelos,147,Mexico,FALSE,1,1,Draw
3939923,2024-10-20,01:05:00.000,3,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-10-27T09:45:49.159444,2024-10-27T09:45:49.159444,12,73,Mexico,Liga MX,317,2024/2025,1229,América,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,1001010,Estadio Ciudad de los Deportes,147,Mexico,1005264,Jesus Rafael Lopez Valle,147,Mexico,TRUE,3,0,Win
3972062,2025-02-08,03:00:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-08T15:25:51.561322,2025-02-08T15:25:51.561322,6,73,Mexico,Liga MX,317,2024/2025,1226,Puebla,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4642,Estadio Cuauhtémoc,147,Mexico,1003018,Ismael Rosario Lopez Peñuelas,147,Mexico,FALSE,2,1,Win
3939933,2024-10-24,03:05:00.000,2,2,NA,FALSE,FALSE,Complete,Normal,available,available,2024-10-24T17:05:40.352054,2024-10-24T17:05:40.352054,13,73,Mexico,Liga MX,317,2024/2025,1311,Tijuana,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4834,Estadio Caliente,147,Mexico,1134,Fernando Hernández Gómez,147,Mexico,FALSE,2,2,Draw
3972016,2025-01-11,01:00:00.000,0,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-15T04:14:37.770825,2025-01-15T04:14:37.770825,1,73,Mexico,Liga MX,317,2024/2025,1228,Querétaro,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4645,Estadio La Corregidora,147,Mexico,1005264,Jesus Rafael Lopez Valle,147,Mexico,FALSE,1,0,Win
3994837,2025-05-16,02:00:00.000,1,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-06-05T11:13:21.407353,2025-06-05T11:13:21.407353,21,73,Mexico,Liga MX,317,2024/2025,1224,Cruz Azul,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,136,Clausura - Semi-finals,4833,Estadio Olímpico de Universitario (Ciudad de México),147,Mexico,1017,Luis Enrique Santander Aguirre,147,Mexico,FALSE,0,1,Loss
