match_id,match_date,kick_off,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_youth,home_team.home_team_group,home_team.managers,home_team.country.id,home_team.country.name,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_youth,away_team.away_team_group,away_team.managers,away_team.country.id,away_team.country.name,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name,is_home,team_goals,opponent_goals,result
3992815,2025-04-28,01:30:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-28T19:04:28.134987,2025-04-28T19:04:28.134987,18,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1298,Pachuca,male,FALSE,NA,,147,Mexico,1.1.0,2,2,2,Play-In Round,4643,Estadio BBVA,147,Mexico,1017,Luis Enrique Santander Aguirre,147,Mexico,TRUE,1,2,Loss
3972049,2025-01-30,01:00:00.000,3,3,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-07T21:02:41.736720,2025-02-07T21:02:41.736720,4,73,Mexico,Liga MX,317,2024/2025,1296,Atlas,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4828,Estadio Jalisco,147,Mexico,1005472,Maximiliano Quintero Hernández,147,Mexico,FALSE,3,3,Draw
3972021,2025-01-13,01:00:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-16T14:04:40.154351,2025-01-16T14:04:40.154351,1,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1226,Puebla,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4643,Estadio BBVA,147,Mexico,1006550,Luis Alfredo García Rodríguez,147,Mexico,TRUE,1,1,Draw
3939903,2024-09-29,03:05:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-03T00:13:34.009375,2025-01-03T00:13:34.009375,10,73,Mexico,Liga MX,317,2024/2025,1297,Guadalajara,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4838,Estadio Akron,147,Mexico,1005264,Jesus Rafael Lopez Valle,147,Mexico,FALSE,1,1,Draw
3972075,2025-02-16,23:00:00.000,2,4,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-17T22:30:11.143963,2025-02-17T22:30:11.143963,7,73,Mexico,Liga MX,317,2024/2025,1228,Querétaro,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4645,Estadio La Corregidora,147,Mexico,1134,Fernando Hernández Gómez,147,Mexico,FALSE,4,2,Win
3939854,2024-08-24,03:05:00.000,2,2,NA,FALSE,FALSE,Complete,Normal,available,available,2024-08-29T15:26:42.622845,2024-08-29T15:26:42.622845,5,73,Mexico,Liga MX,317,2024/2025,1311,Tijuana,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4834,Estadio Caliente,147,Mexico,740,César Arturo Ramos Palazuelos,147,Mexico,FALSE,2,2,Draw
3972121,2025-03-17,00:00:00.000,1,3,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-17T15:13:43.892370,2025-03-17T15:13:43.892370,12,73,Mexico,Liga MX,317,2024/2025,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4833,Estadio Olímpico de Universitario (Ciudad de México),147,Mexico,1003018,Ismael Rosario Lopez Peñuelas,147,Mexico,FALSE,3,1,Win
3972027,2025-01-19,01:00:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-23T21:32:40.058086,2025-01-23T21:32:40.058086,2,73,Mexico,Liga MX,317,2024/2025,1227,Toluca,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4819,Estadio Nemesio Díez,147,Mexico,1257,Fernando Guerrero Ramírez,147,Mexico,FALSE,1,1,Draw
3939842,2024-07-18,01:00:00.000,0,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-07-24T15:42:02.953164,2024-07-24T15:42:02.953164,3,73,Mexico,Liga MX,317,2024/2025,1221,Necaxa,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4644,Estadio Victoria de Aguascalientes,147,Mexico,1005264,Jesus Rafael Lopez Valle,147,Mexico,FALSE,1,0,Win
3939967,2024-11-11,01:05:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-11-16T16:10:28.346889,2024-11-16T16:10:28.346889,17,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1302,León,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4643,Estadio BBVA,147,Mexico,740,César Arturo Ramos Palazuelos,147,Mexico,TRUE,2,1,Win
3939954,2024-08-17,01:00:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-01T12:42:55.576581,2024-09-01T12:42:55.576581,16,73,Mexico,Liga MX,317,2024/2025,1226,Puebla,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4642,Estadio Cuauhtémoc,147,Mexico,1006596,Salvador Pérez Villalobos,147,Mexico,FALSE,2,1,Win
3972128,2025-03-30,03:15:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-30T17:09:54.959308,2025-03-30T17:09:54.959308,13,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1311,Tijuana,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4643,Estadio BBVA,147,Mexico,1017,Luis Enrique Santander Aguirre,147,Mexico,TRUE,1,2,Loss
3972109,2025-03-09,01:05:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-09T18:39:23.034461,2025-03-09T18:39:23.034461,11,73,Mexico,Liga MX,317,2024/2025,1224,Cruz Azul,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4833,Estadio Olímpico de Universitario (Ciudad de México),147,Mexico,1020,Óscar Mejía García,147,Mexico,FALSE,1,1,Draw
3993381,2025-05-05,01:30:00.000,2,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-05-16T21:53:30.467210,2025-05-16T21:53:30.467210,19,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1.1.0,2,2,2,Play-In Round,4643,Estadio BBVA,147,Mexico,1106,Adonai Escobedo González,147,Mexico,TRUE,2,0,Win
3939890,2024-09-22,01:00:00.000,0,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-10-04T11:20:07.725124,2024-10-04T11:20:07.725124,9,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,2773,Mazatlán,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4643,Estadio BBVA,147,Mexico,1003018,Ismael Rosario Lopez Peñuelas,147,Mexico,TRUE,0,0,Draw
3972146,2025-04-13,01:00:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-05-03T11:48:01.045899,2025-05-03T11:48:01.045899,15,73,Mexico,Liga MX,317,2024/2025,1300,Tigres UANL,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4829,Estadio Universitario de Nuevo León,147,Mexico,1021,Marco Antonio Ortíz Nava,147,Mexico,FALSE,1,2,Loss
3972038,2025-01-26,03:10:00.000,2,3,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-12T19:33:23.919924,2025-02-12T19:33:23.919924,3,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1298,Pachuca,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4643,Estadio BBVA,147,Mexico,1001442,Guillermo Pacheco Larios,147,Mexico,TRUE,2,3,Loss
3939941,2024-10-28,02:05:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-10-28T15:22:50.695776,2024-10-28T15:22:50.695776,14,73,Mexico,Liga MX,317,2024/2025,1229,América,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,1001010,Estadio Ciudad de los Deportes,147,Mexico,1001002,Daniel Quintero Huittrón,147,Mexico,FALSE,1,2,Loss
3939909,2024-10-05,23:00:00.000,1,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-11-05T14:57:00.239011,2024-11-05T14:57:00.239011,11,73,Mexico,Liga MX,317,2024/2025,1287,Atlético San Luis,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4765,Estadio Alfonso Lastras Ramírez (San Luis Potosí),147,Mexico,1719,Víctor Alfonso Cáceres Hernández,147,Mexico,FALSE,0,1,Loss
3993918,2025-05-08,01:00:00.000,3,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-05-17T21:36:00.379676,2025-05-17T21:36:00.379676,19,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1227,Toluca,male,FALSE,NA,,147,Mexico,1.1.0,2,2,11,Quarter-finals,4643,Estadio BBVA,147,Mexico,1001442,Guillermo Pacheco Larios,147,Mexico,TRUE,3,2,Win
3972104,2025-03-03,02:05:00.000,4,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-07T09:49:10.831182,2025-04-07T09:49:10.831182,10,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4643,Estadio BBVA,147,Mexico,1106,Adonai Escobedo González,147,Mexico,TRUE,4,2,Win
3939847,2024-07-21,01:00:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-07-25T03:09:33.574835,2024-07-25T03:09:33.574835,4,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1228,Querétaro,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4643,Estadio BBVA,147,Mexico,1719,Víctor Alfonso Cáceres Hernández,147,Mexico,TRUE,2,1,Win
