match_id,match_date,kick_off,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_youth,home_team.home_team_group,home_team.managers,home_team.country.id,home_team.country.name,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_youth,away_team.away_team_group,away_team.managers,away_team.country.id,away_team.country.name,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name,is_home,team_goals,opponent_goals,result
3972021,2025-01-13,01:00:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-16T14:04:40.154351,2025-01-16T14:04:40.154351,1,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1226,Puebla,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4643,Estadio BBVA,147,Mexico,1006550,Luis Alfredo García Rodríguez,147,Mexico,FALSE,1,1,Draw
3939908,2024-10-05,23:00:00.000,1,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-10-06T15:47:24.669228,2024-10-06T15:47:24.669228,11,73,Mexico,Liga MX,317,2024/2025,1300,Tigres UANL,male,FALSE,NA,,147,Mexico,1226,Puebla,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4829,Estadio Universitario de Nuevo León,147,Mexico,1004479,Vicente Jassiel Reynoso Arce,147,Mexico,FALSE,0,1,Loss
3972159,2025-04-19,01:00:00.000,0,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-21T19:25:53.436787,2025-04-21T19:25:53.436787,17,73,Mexico,Liga MX,317,2024/2025,1226,Puebla,male,FALSE,NA,,147,Mexico,1221,Necaxa,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4642,Estadio Cuauhtémoc,147,Mexico,1001442,Guillermo Pacheco Larios,147,Mexico,TRUE,0,1,Loss
3972036,2025-01-25,23:00:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-27T03:18:04.630848,2025-01-27T03:18:04.630848,3,73,Mexico,Liga MX,317,2024/2025,1224,Cruz Azul,male,FALSE,NA,,147,Mexico,1226,Puebla,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,1002235,Estadio La Cantera (Ciudad de México (D.F.)),147,Mexico,1002538,Jorge Abraham Camacho Peregrina,147,Mexico,FALSE,1,1,Draw
3972058,2025-02-02,23:00:00.000,0,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-10T19:06:31.100536,2025-02-10T19:06:31.100536,5,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1226,Puebla,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4752,Estadio Nuevo Corona,147,Mexico,1719,Víctor Alfonso Cáceres Hernández,147,Mexico,FALSE,2,0,Win
3939917,2024-10-19,03:05:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-04T08:02:55.725793,2025-01-04T08:02:55.725793,12,73,Mexico,Liga MX,317,2024/2025,1226,Puebla,male,FALSE,NA,,147,Mexico,1224,Cruz Azul,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4642,Estadio Cuauhtémoc,147,Mexico,1005437,Mario Terrazas Chávez,147,Mexico,TRUE,1,2,Loss
3939954,2024-08-17,01:00:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-01T12:42:55.576581,2024-09-01T12:42:55.576581,16,73,Mexico,Liga MX,317,2024/2025,1226,Puebla,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4642,Estadio Cuauhtémoc,147,Mexico,1006596,Salvador Pérez Villalobos,147,Mexico,TRUE,1,2,Loss
3972062,2025-02-08,03:00:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-08T15:25:51.561322,2025-02-08T15:25:51.561322,6,73,Mexico,Liga MX,317,2024/2025,1226,Puebla,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4642,Estadio Cuauhtémoc,147,Mexico,1003018,Ismael Rosario Lopez Peñuelas,147,Mexico,TRUE,1,2,Loss
3972103,2025-03-02,22:00:00.000,2,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-17T20:13:30.211570,2025-03-17T20:13:30.211570,10,73,Mexico,Liga MX,317,2024/2025,1228,Querétaro,male,FALSE,NA,,147,Mexico,1226,Puebla,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4645,Estadio La Corregidora,147,Mexico,740,César Arturo Ramos Palazuelos,147,Mexico,FALSE,0,2,Loss
3972124,2025-03-29,23:00:00.000,2,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-10T08:46:00.912762,2025-04-10T08:46:00.912762,13,73,Mexico,Liga MX,317,2024/2025,1291,Juárez,male,FALSE,NA,,147,Mexico,1226,Puebla,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4884,Estadio Olímpico Benito Juárez (Ciudad Juárez),147,Mexico,1001002,Daniel Quintero Huittrón,147,Mexico,FALSE,0,2,Loss
3972143,2025-04-12,23:00:00.000,1,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-15T09:43:31.449090,2025-04-15T09:43:31.449090,15,73,Mexico,Liga MX,317,2024/2025,1302,León,male,FALSE,NA,,147,Mexico,1226,Puebla,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4830,Estadio León,147,Mexico,1017,Luis Enrique Santander Aguirre,147,Mexico,FALSE,0,1,Loss
3972073,2025-02-15,23:00:00.000,3,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-21T13:48:09.479549,2025-03-21T13:48:09.479549,7,73,Mexico,Liga MX,317,2024/2025,1296,Atlas,male,FALSE,NA,,147,Mexico,1226,Puebla,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4828,Estadio Jalisco,147,Mexico,1017,Luis Enrique Santander Aguirre,147,Mexico,FALSE,2,3,Loss
