match_id,match_date,kick_off,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_youth,home_team.home_team_group,home_team.managers,home_team.country.id,home_team.country.name,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_youth,away_team.away_team_group,away_team.managers,away_team.country.id,away_team.country.name,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name,is_home,team_goals,opponent_goals,result
3972164,2025-04-20,03:00:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-20T21:55:27.058320,2025-04-20T21:55:27.058320,17,73,Mexico,Liga MX,317,2024/2025,1300,Tigres UANL,male,FALSE,NA,,147,Mexico,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4829,Estadio Universitario de Nuevo León,147,Mexico,740,César Arturo Ramos Palazuelos,147,Mexico,FALSE,1,2,Loss
3972131,2025-03-31,01:05:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-01T05:29:49.078690,2025-04-01T05:29:49.078690,13,73,Mexico,Liga MX,317,2024/2025,1302,León,male,FALSE,NA,,147,Mexico,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4830,Estadio León,147,Mexico,1106,Adonai Escobedo González,147,Mexico,FALSE,2,1,Win
3972144,2025-04-12,23:00:00.000,0,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-05-03T09:20:09.229940,2025-05-03T09:20:09.229940,15,73,Mexico,Liga MX,317,2024/2025,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1291,Juárez,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4833,Estadio Olímpico de Universitario (Ciudad de México),147,Mexico,1001442,Guillermo Pacheco Larios,147,Mexico,TRUE,0,0,Draw
3972138,2025-04-06,03:10:00.000,3,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-16T04:06:40.694200,2025-04-16T04:06:40.694200,14,73,Mexico,Liga MX,317,2024/2025,1224,Cruz Azul,male,FALSE,NA,,147,Mexico,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4642,Estadio Cuauhtémoc,147,Mexico,1001002,Daniel Quintero Huittrón,147,Mexico,FALSE,2,3,Loss
3972121,2025-03-17,00:00:00.000,1,3,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-17T15:13:43.892370,2025-03-17T15:13:43.892370,12,73,Mexico,Liga MX,317,2024/2025,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4833,Estadio Olímpico de Universitario (Ciudad de México),147,Mexico,1003018,Ismael Rosario Lopez Peñuelas,147,Mexico,TRUE,1,3,Loss
3972098,2025-03-02,03:10:00.000,0,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-15T00:46:33.543592,2025-03-15T00:46:33.543592,10,73,Mexico,Liga MX,317,2024/2025,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1297,Guadalajara,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4833,Estadio Olímpico de Universitario (Ciudad de México),147,Mexico,1001002,Daniel Quintero Huittrón,147,Mexico,TRUE,0,1,Loss
3993381,2025-05-05,01:30:00.000,2,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-05-16T21:53:30.467210,2025-05-16T21:53:30.467210,19,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1.1.0,2,2,2,Play-In Round,4643,Estadio BBVA,147,Mexico,1106,Adonai Escobedo González,147,Mexico,FALSE,0,2,Loss
3972019,2025-01-12,18:00:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-29T19:32:29.546375,2025-01-29T19:32:29.546375,1,73,Mexico,Liga MX,317,2024/2025,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1221,Necaxa,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4833,Estadio Olímpico de Universitario (Ciudad de México),147,Mexico,1003018,Ismael Rosario Lopez Peñuelas,147,Mexico,TRUE,2,1,Win
3939874,2024-09-14,03:00:00.000,2,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-24T05:22:49.454648,2024-09-24T05:22:49.454648,7,73,Mexico,Liga MX,317,2024/2025,1221,Necaxa,male,FALSE,NA,,147,Mexico,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4644,Estadio Victoria de Aguascalientes,147,Mexico,1746,Katia Itzel García,147,Mexico,FALSE,0,2,Loss
3972057,2025-02-03,01:00:00.000,2,3,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-05T10:05:27.169013,2025-02-05T10:05:27.169013,5,73,Mexico,Liga MX,317,2024/2025,1287,Atlético San Luis,male,FALSE,NA,,147,Mexico,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4765,Estadio Alfonso Lastras Ramírez (San Luis Potosí),147,Mexico,1001002,Daniel Quintero Huittrón,147,Mexico,FALSE,3,2,Win
