match_id,match_date,kick_off,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_youth,home_team.home_team_group,home_team.managers,home_team.country.id,home_team.country.name,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_youth,away_team.away_team_group,away_team.managers,away_team.country.id,away_team.country.name,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name,is_home,team_goals,opponent_goals,result
3939904,2024-09-29,03:10:00.000,3,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-29T19:34:42.634524,2024-09-29T19:34:42.634524,10,73,Mexico,Liga MX,317,2024/2025,1287,Atlético San Luis,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4765,Estadio Alfonso Lastras Ramírez (San Luis Potosí),147,Mexico,1005472,Maximiliano Quintero Hernández,147,Mexico,FALSE,1,3,Loss
3972140,2025-04-07,00:00:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-05-04T09:10:16.084597,2025-05-04T09:10:16.084597,14,73,Mexico,Liga MX,317,2024/2025,1227,Toluca,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4819,Estadio Nemesio Díez,147,Mexico,1017,Luis Enrique Santander Aguirre,147,Mexico,FALSE,1,2,Loss
3972048,2025-01-30,03:00:00.000,1,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-30T22:17:59.491536,2025-01-30T22:17:59.491536,4,73,Mexico,Liga MX,317,2024/2025,1291,Juárez,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4884,Estadio Olímpico Benito Juárez (Ciudad Juárez),147,Mexico,1004467,Abraham de Jesús Quirarte Contreras,147,Mexico,FALSE,0,1,Loss
3939914,2024-10-07,02:05:00.000,0,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-05T04:47:06.897115,2025-01-05T04:47:06.897115,11,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1291,Juárez,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4752,Estadio Nuevo Corona,147,Mexico,1003018,Ismael Rosario Lopez Peñuelas,147,Mexico,TRUE,0,2,Loss
3939894,2024-09-23,01:05:00.000,2,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-29T17:07:17.235186,2024-09-29T17:07:17.235186,9,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1227,Toluca,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4752,Estadio Nuevo Corona,147,Mexico,1005576,Iván Antonio López Sánchez,147,Mexico,TRUE,2,0,Win
3972078,2025-02-20,03:05:00.000,0,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-21T19:13:16.165497,2025-02-21T19:13:16.165497,9,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1224,Cruz Azul,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4752,Estadio Nuevo Corona,147,Mexico,1005264,Jesus Rafael Lopez Valle,147,Mexico,TRUE,0,1,Loss
3972058,2025-02-02,23:00:00.000,0,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-10T19:06:31.100536,2025-02-10T19:06:31.100536,5,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1226,Puebla,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4752,Estadio Nuevo Corona,147,Mexico,1719,Víctor Alfonso Cáceres Hernández,147,Mexico,TRUE,0,2,Loss
3939887,2024-08-19,00:05:00.000,3,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-03T08:55:32.323111,2024-09-03T08:55:32.323111,8,73,Mexico,Liga MX,317,2024/2025,1311,Tijuana,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4834,Estadio Caliente,147,Mexico,1005472,Maximiliano Quintero Hernández,147,Mexico,FALSE,1,3,Loss
3972060,2025-02-08,01:00:00.000,3,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-08T12:51:06.656379,2025-02-08T12:51:06.656379,6,73,Mexico,Liga MX,317,2024/2025,1221,Necaxa,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4644,Estadio Victoria de Aguascalientes,147,Mexico,1001002,Daniel Quintero Huittrón,147,Mexico,FALSE,2,3,Loss
3939835,2024-07-17,01:00:00.000,1,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-07-17T15:19:41.020597,2024-07-17T15:19:41.020597,3,73,Mexico,Liga MX,317,2024/2025,1296,Atlas,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4828,Estadio Jalisco,147,Mexico,1017,Luis Enrique Santander Aguirre,147,Mexico,FALSE,0,1,Loss
3939856,2024-08-25,01:00:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-07T06:07:43.515741,2024-09-07T06:07:43.515741,5,73,Mexico,Liga MX,317,2024/2025,1302,León,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4830,Estadio León,147,Mexico,1106,Adonai Escobedo González,147,Mexico,FALSE,1,1,Draw
3972130,2025-03-30,23:00:00.000,2,3,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-10T12:07:41.079602,2025-04-10T12:07:41.079602,13,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1287,Atlético San Luis,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4752,Estadio Nuevo Corona,147,Mexico,1746,Katia Itzel García,147,Mexico,TRUE,2,3,Loss
3972117,2025-03-15,23:00:00.000,3,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-23T05:37:16.715487,2025-03-23T05:37:16.715487,12,73,Mexico,Liga MX,317,2024/2025,1300,Tigres UANL,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4829,Estadio Universitario de Nuevo León,147,Mexico,740,César Arturo Ramos Palazuelos,147,Mexico,FALSE,0,3,Loss
3939923,2024-10-20,01:05:00.000,3,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-10-27T09:45:49.159444,2024-10-27T09:45:49.159444,12,73,Mexico,Liga MX,317,2024/2025,1229,América,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,1001010,Estadio Ciudad de los Deportes,147,Mexico,1005264,Jesus Rafael Lopez Valle,147,Mexico,FALSE,0,3,Loss
3939962,2024-11-09,01:00:00.000,3,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-30T02:13:38.194242,2025-01-30T02:13:38.194242,17,73,Mexico,Liga MX,317,2024/2025,1228,Querétaro,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4645,Estadio La Corregidora,147,Mexico,1140,Óscar Macías Romo,147,Mexico,FALSE,2,3,Loss
3972149,2025-04-13,23:00:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-16T11:23:00.976177,2025-04-16T11:23:00.976177,15,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1228,Querétaro,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4752,Estadio Nuevo Corona,147,Mexico,1719,Víctor Alfonso Cáceres Hernández,147,Mexico,TRUE,1,2,Loss
3972165,2025-04-20,23:00:00.000,0,4,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-24T15:21:32.373978,2025-04-24T15:21:32.373978,17,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1311,Tijuana,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4752,Estadio Nuevo Corona,147,Mexico,1021,Marco Antonio Ortíz Nava,147,Mexico,TRUE,0,4,Loss
3972104,2025-03-03,02:05:00.000,4,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-07T09:49:10.831182,2025-04-07T09:49:10.831182,10,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4643,Estadio BBVA,147,Mexico,1106,Adonai Escobedo González,147,Mexico,FALSE,2,4,Loss
3939934,2024-10-26,01:00:00.000,0,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-11-03T14:18:11.313126,2024-11-03T14:18:11.313126,14,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,2773,Mazatlán,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4752,Estadio Nuevo Corona,147,Mexico,1002538,Jorge Abraham Camacho Peregrina,147,Mexico,TRUE,0,0,Draw
3972112,2025-03-09,23:00:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-11T00:46:42.194727,2025-03-11T00:46:42.194727,11,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1302,León,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4752,Estadio Nuevo Corona,147,Mexico,1001442,Guillermo Pacheco Larios,147,Mexico,TRUE,2,1,Win
3972088,2025-02-23,23:00:00.000,2,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-21T13:49:48.751493,2025-03-21T13:49:48.751493,8,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1296,Atlas,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4752,Estadio Nuevo Corona,147,Mexico,1005472,Maximiliano Quintero Hernández,147,Mexico,TRUE,2,0,Win
3972031,2025-01-21,01:00:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-29T22:31:52.910273,2025-01-29T22:31:52.910273,2,73,Mexico,Liga MX,317,2024/2025,1298,Pachuca,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4764,Estadio Hidalgo,147,Mexico,1004479,Vicente Jassiel Reynoso Arce,147,Mexico,FALSE,1,2,Loss
3972039,2025-01-26,01:05:00.000,1,4,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-26T17:43:25.290717,2025-01-26T17:43:25.290717,3,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1229,América,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4752,Estadio Nuevo Corona,147,Mexico,1134,Fernando Hernández Gómez,147,Mexico,TRUE,1,4,Loss
3972018,2025-01-12,01:05:00.000,1,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-30T04:52:36.113866,2025-01-30T04:52:36.113866,1,73,Mexico,Liga MX,317,2024/2025,1297,Guadalajara,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4838,Estadio Akron,147,Mexico,1001002,Daniel Quintero Huittrón,147,Mexico,FALSE,0,1,Loss
3939832,2024-07-14,01:05:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-07-30T15:04:54.675248,2024-07-30T15:04:54.675248,2,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4752,Estadio Nuevo Corona,147,Mexico,1005437,Mario Terrazas Chávez,147,Mexico,TRUE,1,1,Draw
3939950,2024-11-03,03:10:00.000,2,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-11-03T17:49:00.712334,2024-11-03T17:49:00.712334,15,73,Mexico,Liga MX,317,2024/2025,1224,Cruz Azul,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,1001010,Estadio Ciudad de los Deportes,147,Mexico,1006598,Karen Hernández Andrade,147,Mexico,FALSE,0,2,Loss
3939878,2024-09-15,03:00:00.000,0,2,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-15T16:43:08.988975,2024-09-15T16:43:08.988975,7,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4752,Estadio Nuevo Corona,147,Mexico,1018,Erick Yair Miranda Galindo,147,Mexico,TRUE,0,2,Loss
3939816,2024-07-05,22:45:00.000,1,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-07-09T16:37:28.019346,2024-07-09T16:37:28.019346,1,73,Mexico,Liga MX,317,2024/2025,1226,Puebla,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4642,Estadio Cuauhtémoc,147,Mexico,1002538,Jorge Abraham Camacho Peregrina,147,Mexico,FALSE,0,1,Loss
3939846,2024-07-21,01:00:00.000,0,3,NA,FALSE,FALSE,Complete,Normal,available,available,2024-07-27T22:03:34.818505,2024-07-27T22:03:34.818505,4,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1300,Tigres UANL,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4752,Estadio Nuevo Corona,147,Mexico,1021,Marco Antonio Ortíz Nava,147,Mexico,TRUE,0,3,Loss
3972154,2025-04-17,03:05:00.000,2,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-04-18T12:43:39.470685,2025-04-18T12:43:39.470685,16,73,Mexico,Liga MX,317,2024/2025,1301,Pumas UNAM,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4833,Estadio Olímpico de Universitario (Ciudad de México),147,Mexico,1106,Adonai Escobedo González,147,Mexico,FALSE,0,2,Loss
3939925,2024-10-23,01:00:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-11-01T15:37:52.468758,2024-11-01T15:37:52.468758,13,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1298,Pachuca,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4752,Estadio Nuevo Corona,147,Mexico,1001002,Daniel Quintero Huittrón,147,Mexico,TRUE,1,1,Draw
3939955,2024-11-06,01:00:00.000,0,2,NA,FALSE,FALSE,Complete,Normal,available,available,2024-11-16T23:26:36.757539,2024-11-16T23:26:36.757539,16,73,Mexico,Liga MX,317,2024/2025,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1297,Guadalajara,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4752,Estadio Nuevo Corona,147,Mexico,1005576,Iván Antonio López Sánchez,147,Mexico,TRUE,0,2,Loss
3972069,2025-02-15,03:00:00.000,1,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-02-17T03:17:41.600229,2025-02-17T03:17:41.600229,7,73,Mexico,Liga MX,317,2024/2025,2773,Mazatlán,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,115917,Estadio El Encanto,147,Mexico,1021,Marco Antonio Ortíz Nava,147,Mexico,FALSE,1,1,Draw
