match_id,match_date,kick_off,home_score,away_score,attendance,behind_closed_doors,neutral_ground,collection_status,play_status,match_status,match_status_360,last_updated,last_updated_360,match_week,competition.competition_id,competition.country_name,competition.competition_name,season.season_id,season.season_name,home_team.home_team_id,home_team.home_team_name,home_team.home_team_gender,home_team.home_team_youth,home_team.home_team_group,home_team.managers,home_team.country.id,home_team.country.name,away_team.away_team_id,away_team.away_team_name,away_team.away_team_gender,away_team.away_team_youth,away_team.away_team_group,away_team.managers,away_team.country.id,away_team.country.name,metadata.data_version,metadata.shot_fidelity_version,metadata.xy_fidelity_version,competition_stage.id,competition_stage.name,stadium.id,stadium.name,stadium.country.id,stadium.country.name,referee.id,referee.name,referee.country.id,referee.country.name,is_home,team_goals,opponent_goals,result
3939916,2024-10-19,03:00:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2024-12-18T09:06:16.355593,2024-12-18T09:06:16.355593,12,73,Mexico,Liga MX,317,2024/2025,1221,Necaxa,male,FALSE,NA,,147,Mexico,1311,Tijuana,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4644,Estadio Victoria de Aguascalientes,147,Mexico,1106,Adonai Escobedo González,147,Mexico,FALSE,2,1,Win
3972017,2025-01-11,03:05:00.000,2,4,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-29T20:02:53.763197,2025-01-29T20:02:53.763197,1,73,Mexico,Liga MX,317,2024/2025,1311,Tijuana,male,FALSE,NA,,147,Mexico,1227,Toluca,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4834,Estadio Caliente,147,Mexico,1002538,Jorge Abraham Camacho Peregrina,147,Mexico,TRUE,2,4,Loss
3969168,2024-11-25,03:00:00.000,3,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-12-17T22:54:08.291799,2024-12-17T22:54:08.291799,19,73,Mexico,Liga MX,317,2024/2025,1311,Tijuana,male,FALSE,NA,,147,Mexico,1296,Atlas,male,FALSE,NA,,147,Mexico,1.1.0,2,2,160,Play-Offs - Finals,4834,Estadio Caliente,147,Mexico,1719,Víctor Alfonso Cáceres Hernández,147,Mexico,TRUE,3,0,Win
3939900,2024-09-28,03:05:00.000,1,0,NA,FALSE,FALSE,Complete,Normal,available,available,2024-10-07T11:20:09.013288,2024-10-07T11:20:09.013288,10,73,Mexico,Liga MX,317,2024/2025,1311,Tijuana,male,FALSE,NA,,147,Mexico,2773,Mazatlán,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4834,Estadio Caliente,147,Mexico,1719,Víctor Alfonso Cáceres Hernández,147,Mexico,TRUE,1,0,Win
3939854,2024-08-24,03:05:00.000,2,2,NA,FALSE,FALSE,Complete,Normal,available,available,2024-08-29T15:26:42.622845,2024-08-29T15:26:42.622845,5,73,Mexico,Liga MX,317,2024/2025,1311,Tijuana,male,FALSE,NA,,147,Mexico,1222,Monterrey,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4834,Estadio Caliente,147,Mexico,740,César Arturo Ramos Palazuelos,147,Mexico,TRUE,2,2,Draw
3939887,2024-08-19,00:05:00.000,3,1,NA,FALSE,FALSE,Complete,Normal,available,available,2024-09-03T08:55:32.323111,2024-09-03T08:55:32.323111,8,73,Mexico,Liga MX,317,2024/2025,1311,Tijuana,male,FALSE,NA,,147,Mexico,1299,Santos Laguna,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4834,Estadio Caliente,147,Mexico,1005472,Maximiliano Quintero Hernández,147,Mexico,TRUE,3,1,Win
3939907,2024-10-05,03:00:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-05T15:09:57.534609,2025-01-05T15:09:57.534609,11,73,Mexico,Liga MX,317,2024/2025,1311,Tijuana,male,FALSE,NA,,147,Mexico,1298,Pachuca,male,FALSE,NA,,147,Mexico,1.1.0,2,2,42,Apertura,4834,Estadio Caliente,147,Mexico,1005576,Iván Antonio López Sánchez,147,Mexico,TRUE,2,1,Win
3972148,2025-04-11,02:05:00.000,2,1,NA,FALSE,FALSE,Complete,Normal,available,available,2025-05-03T06:10:05.469292,2025-05-03T06:10:05.469292,15,73,Mexico,Liga MX,317,2024/2025,1311,Tijuana,male,FALSE,NA,,147,Mexico,1287,Atlético San Luis,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4834,Estadio Caliente,147,Mexico,1005437,Mario Terrazas Chávez,147,Mexico,TRUE,2,1,Win
3972041,2025-01-29,03:00:00.000,4,0,NA,FALSE,FALSE,Complete,Normal,available,available,2025-01-29T11:42:19.828457,2025-01-29T11:42:19.828457,4,73,Mexico,Liga MX,317,2024/2025,1300,Tigres UANL,male,FALSE,NA,,147,Mexico,1311,Tijuana,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4829,Estadio Universitario de Nuevo León,147,Mexico,1005576,Iván Antonio López Sánchez,147,Mexico,FALSE,0,4,Loss
3972128,2025-03-30,03:15:00.000,1,2,NA,FALSE,FALSE,Complete,Normal,available,available,2025-03-30T17:09:54.959308,2025-03-30T17:09:54.959308,13,73,Mexico,Liga MX,317,2024/2025,1222,Monterrey,male,FALSE,NA,,147,Mexico,1311,Tijuana,male,FALSE,NA,,147,Mexico,1.1.0,2,2,44,Clausura,4643,Estadio BBVA,147,Mexico,1017,Luis Enrique Santander Aguirre,147,Mexico,FALSE,2,1,Win
